,,Target,,,Limit,
Gray,X,Y,Lv,X,Y,Lv
Band2_White,0.2988,0.3158,430,1,1,1
Band2_Red,0.6845,0.3145,-1,0.0095,0.0095,-1
Band2_Green,0.243,0.719,-1,0.046,0.029,-1
Band2_Blue,0.143,0.0445,-1,0.004,0.0085,-1
Band2_Black,-1,-1,-1,-1,-1,0.005
Band1_255,0.2988,0.3158,586,0.005,0.005,11.466
Band2_255,0.2988,0.3158,440,0.005,0.005,8.6
Band3_255,0.2988,0.3158,212,0.005,0.005,4.242
Band4_255,0.2988,0.3158,106,0.005,0.005,2.122
Band5_255,0.2988,0.3158,53,0.005,0.005,1.07
Band6_255,0.2988,0.3158,26.5,0.005,0.005,0.402
Band7_255,0.2988,0.3158,13,0.005,0.005,0.18
Band8_255,0.2988,0.3158,5,0.005,0.005,0.08
Band9_255,0.2988,0.3158,2,0.005,0.005,0.04
AOD1_255,0.2988,0.3158,60,0.005,0.005,1.2
AOD2_255,0.2988,0.3158,40,0.005,0.005,0.8
AOD3_255,0.2988,0.3158,2,0.005,0.005,0.04
