,,Gamma,,,Diff (R - L),
Band_Gray,Red,Green,Blue,Red,Green,Blue
B0_G255,0,0,0,,,
B0_G189,0,0,0,,,
B0_G134,0,0,0,,,
B0_G91,0,0,0,,,
B0_G60,0,0,0,,,
B0_G38,0,0,0,,,
B0_G23,0,0,0,,,
B0_G13,0,0,0,,,
B0_G6,0,0,0,,,
B0_G4,0,0,0,,,
B1_G255,0,0,0,,,
B1_G189,0,0,0,,,
B1_G134,0,0,0,,,
B1_G91,0,0,0,,,
B1_G60,0,0,0,,,
B1_G38,0,0,0,,,
B1_G23,0,0,0,,,
B1_G13,0,0,0,,,
B1_G6,0,0,0,,,
B1_G4,0,0,0,,,
B2_G255,0,0,0,,,
B2_G189,0,0,0,,,
B2_G134,0,0,0,,,
B2_G91,0,0,0,,,
B2_G60,0,0,0,,,
B2_G38,0,0,0,,,
B2_G23,0,0,0,,,
B2_G13,0,0,0,,,
B2_G6,0,0,0,,,
B2_G4,0,0,0,,,
B3_G255,0,0,0,,,
B3_G189,0,0,0,,,
B3_G134,0,0,0,,,
B3_G91,0,0,0,,,
B3_G60,0,0,0,,,
B3_G38,0,0,0,,,
B3_G23,0,0,0,,,
B3_G13,0,0,0,,,
B3_G6,0,0,0,,,
B3_G4,0,0,0,,,
B4_G255,0,0,0,,,
B4_G189,0,0,0,,,
B4_G134,0,0,0,,,
B4_G91,0,0,0,,,
B4_G60,0,0,0,,,
B4_G38,0,0,0,,,
B4_G23,0,0,0,,,
B4_G13,0,0,0,,,
B4_G6,0,0,0,,,
B4_G4,0,0,0,,,
B5_G255,0,0,0,,,
B5_G189,0,0,0,,,
B5_G134,0,0,0,,,
B5_G91,0,0,0,,,
B5_G60,0,0,0,,,
B5_G38,0,0,0,,,
B5_G23,0,0,0,,,
B5_G13,0,0,0,,,
B5_G6,0,0,0,,,
B5_G4,0,0,0,,,
B6_G255,0,0,0,,,
B6_G189,0,0,0,,,
B6_G134,0,0,0,,,
B6_G91,0,0,0,,,
B6_G60,0,0,0,,,
B6_G38,0,0,0,,,
B6_G23,0,0,0,,,
B6_G13,0,0,0,,,
B6_G6,0,0,0,,,
B6_G4,0,0,0,,,
B7_G255,0,0,0,,,
B7_G189,0,0,0,,,
B7_G134,0,0,0,,,
B7_G91,0,0,0,,,
B7_G60,0,0,0,,,
B7_G38,0,0,0,,,
B7_G23,0,0,0,,,
B7_G13,0,0,0,,,
B7_G6,0,0,0,,,
B7_G4,0,0,0,,,
B8_G255,0,0,0,,,
B8_G189,0,0,0,,,
B8_G134,0,0,0,,,
B8_G91,0,0,0,,,
B8_G60,0,0,0,,,
B8_G38,0,0,0,,,
B8_G23,0,0,0,,,
B8_G13,0,0,0,,,
B8_G6,0,0,0,,,
B8_G4,0,0,0,,,
A0_G255,0,0,0,,,
A0_G189,0,0,0,,,
A0_G134,0,0,0,,,
A0_G91,0,0,0,,,
A0_G60,0,0,0,,,
A0_G38,0,0,0,,,
A0_G23,0,0,0,,,
A0_G13,0,0,0,,,
A0_G6,0,0,0,,,
A0_G4,0,0,0,,,
A1_G255,0,0,0,,,
A1_G189,0,0,0,,,
A1_G134,0,0,0,,,
A1_G91,0,0,0,,,
A1_G60,0,0,0,,,
A1_G38,0,0,0,,,
A1_G23,0,0,0,,,
A1_G13,0,0,0,,,
A1_G6,0,0,0,,,
A1_G4,0,0,0,,,
A2_G255,0,0,0,,,
A2_G189,0,0,0,,,
A2_G134,0,0,0,,,
A2_G91,0,0,0,,,
A2_G60,0,0,0,,,
A2_G38,0,0,0,,,
A2_G23,0,0,0,,,
A2_G13,0,0,0,,,
A2_G6,0,0,0,,,
A2_G4,0,0,0,,,
